(-1130.3276345989902, (0, 8, 5, 5))
(-1130.3276345989902, (5, 5, 0, 8))
(-1107.717082917083, (0, 9, 0, 8))
(-1107.7170829170827, (0, 8, 0, 9))
(-1033.5455934696613, (1, 9, 2, 6))
(-1033.5455934696613, (2, 6, 1, 9))
(-1024.2496501972473, (1, 7, 2, 8))
(-1024.2496501972473, (2, 8, 1, 7))
(-1022.632067779665, (1, 8, 2, 7))
(-1022.632067779665, (2, 7, 1, 8))
(-943.5422830545863, (1, 9, 3, 5))
(-943.5422830545863, (3, 5, 1, 9))
(-924.5378639442847, (1, 8, 3, 6))
(-924.5378639442847, (3, 6, 1, 8))
(-921.0446512746014, (1, 7, 3, 7))
(-921.0446512746014, (3, 7, 1, 7))
(-911.1809545997593, (1, 9, 4, 4))
(-911.1809545997593, (4, 4, 1, 9))
(-885.6990235277353, (1, 8, 4, 5))
(-885.6990235277353, (4, 5, 1, 8))
(-874.114917437747, (4, 6, 1, 7))
(-874.1149174377468, (1, 7, 4, 6))
(-867.6374054760244, (1, 7, 5, 5))
(-867.6374054760244, (5, 5, 1, 7))
(-863.8369841223523, (2, 6, 2, 8))
(-863.8369841223523, (2, 8, 2, 6))
(-857.4107045196021, (2, 7, 2, 7))
(-851.4730725414936, (0, 7, 1, 9))
(-851.4730725414936, (1, 9, 0, 7))
(-848.9902220586431, (0, 9, 1, 7))
(-848.9902220586431, (1, 7, 0, 9))
(-845.8072716756927, (0, 8, 1, 8))
(-845.8072716756927, (1, 8, 0, 8))
(-786.154226013588, (2, 8, 3, 5))
(-786.154226013588, (3, 5, 2, 8))
(-774.2828464127966, (2, 6, 3, 7))
(-774.2828464127966, (3, 7, 2, 6))
(-772.6652639952142, (2, 7, 3, 6))
(-772.6652639952142, (3, 6, 2, 7))
(-757.9852045293962, (2, 8, 4, 4))
(-757.9852045293962, (4, 4, 2, 8))
(-740.1887996958396, (2, 7, 4, 5))
(-740.1887996958396, (4, 5, 2, 7))
(-734.7436996977985, (2, 6, 4, 6))
(-734.7436996977985, (4, 6, 2, 6))
(-730.4362568826158, (2, 6, 5, 5))
(-730.4362568826158, (5, 5, 2, 6))
(-713.484734563682, (0, 9, 2, 6))
(-713.484734563682, (2, 6, 0, 9))
(-709.078207757155, (0, 7, 2, 8))
(-709.078207757155, (2, 8, 0, 7))
(-706.5953572743047, (0, 8, 2, 7))
(-706.5953572743047, (2, 7, 0, 8))
(-703.9906754258889, (3, 7, 3, 5))
(-703.9906754258888, (3, 5, 3, 7))
(-695.6125084947806, (3, 6, 3, 6))
(-677.9917230882368, (3, 7, 4, 4))
(-677.9917230882368, (4, 4, 3, 7))
(-667.95190676421, (3, 5, 4, 6))
(-667.95190676421, (4, 6, 3, 5))
(-666.3343243466275, (3, 6, 4, 5))
(-666.3343243466275, (4, 5, 3, 6))
(-664.6726749537088, (3, 5, 5, 5))
(-664.6726749537088, (5, 5, 3, 5))
(-654.8372013950961, (1, 6, 1, 9))
(-654.8372013950961, (1, 9, 1, 6))
(-648.7071756932438, (0, 9, 3, 5))
(-648.7071756932438, (3, 5, 0, 9))
(-645.9290428869376, (1, 7, 1, 8))
(-645.9290428869376, (1, 8, 1, 7))
(-642.9811654312394, (4, 4, 4, 6))
(-642.9811654312394, (4, 6, 4, 4))
(-640.0040315228363, (4, 4, 5, 5))
(-640.0040315228363, (5, 5, 4, 4))
(-638.3864491052537, (4, 5, 4, 5))
(-636.099305132432, (0, 8, 3, 6))
(-636.099305132432, (3, 6, 0, 8))
(-634.8757287088556, (0, 7, 3, 7))
(-634.8757287088556, (3, 7, 0, 7))
(-626.2919022154316, (0, 9, 4, 4))
(-626.2919022154316, (4, 4, 0, 9))
(-611.5079175726235, (0, 8, 4, 5))
(-611.5079175726235, (4, 5, 0, 8))
(-604.5658478776126, (4, 6, 0, 7))
(-604.5658478776124, (0, 7, 4, 6))
(-602.3897337956162, (5, 5, 0, 7))
(-602.389733795616, (0, 7, 5, 5))
(-588.7930315298737, (0, 7, 0, 9))
(-588.7930315298737, (0, 9, 0, 7))
(-585.4449129817552, (0, 8, 0, 8))
(-554.8168903336086, (1, 9, 2, 5))
(-554.8168903336086, (2, 5, 1, 9))
(-543.7882131284607, (1, 6, 2, 8))
(-543.7882131284607, (2, 8, 1, 6))
(-541.3053626456103, (1, 8, 2, 6))
(-541.3053626456103, (2, 6, 1, 8))
(-538.0630050032527, (1, 7, 2, 7))
(-538.0630050032527, (2, 7, 1, 7))
(-506.35380749281677, (1, 9, 3, 4))
(-506.35380749281677, (3, 4, 1, 9))
(-492.88285491598185, (1, 8, 3, 5))
(-492.88285491598185, (3, 5, 1, 8))
(-487.5199785766349, (1, 6, 3, 7))
(-487.5199785766349, (3, 7, 1, 6))
(-485.0371280937845, (3, 6, 1, 7))
(-485.0371280937844, (1, 7, 3, 6))
(-472.7204944694109, (1, 8, 4, 4))
